Label,Line_0_1,Line_1_2,Line_2_3,Line_3_4,Line_0_5,Line_5_6,Line_6_7,Line_7_8,Line_0_9,Line_9_10,Line_10_11,Line_11_12,Line_0_13,Line_13_14,Line_14_15,Line_15_16,Line_0_17,Line_17_18,Line_18_19,Line_19_20
A,123.57,136.36,145.85,154.34,160.68,161.12,154.09,155.05,172.63,170.58,162.27,166.57,173.54,178.32,175.29,179.59,157.19,166.03,170.39,165.45
B,132.29,151.39,171.06,174.65,161.78,167.49,170.46,172.61,174.24,176.11,177.38,178.03,174.4,175.72,176.38,176.83,161.1,166.11,168.51,170.06
A,114.37,128.8,138.52,149.5,154.45,158.31,150.91,150.01,167.31,168.45,160.29,161.82,178.2,179.35,175.21,176.0,161.57,166.45,168.69,167.27
B,128.83,144.0,163.48,177.78,152.11,160.76,164.99,167.68,164.2,169.33,171.75,172.94,175.76,177.5,177.71,177.55,170.35,172.7,174.63,176.3
B,127.27,147.22,167.07,177.25,159.57,164.16,166.51,168.35,171.3,172.42,173.27,173.81,177.65,179.52,179.75,179.24,164.92,169.61,172.04,173.61
A,109.71,123.9,136.7,147.51,148.69,154.14,147.96,144.53,161.75,164.89,158.66,156.25,176.17,176.75,173.87,172.33,166.89,171.27,171.4,170.67
A,114.29,129.75,139.36,149.83,154.78,160.22,154.1,151.42,167.11,169.66,163.65,163.78,179.1,178.95,176.96,176.83,162.07,167.31,168.63,167.26
B,132.08,150.07,169.62,175.98,159.31,164.28,166.89,168.79,170.87,172.57,173.7,174.23,178.22,179.63,179.71,179.18,165.34,169.71,171.98,173.51
B,126.62,147.56,166.98,177.9,157.24,163.36,166.31,168.41,169.48,172.13,173.44,174.1,179.1,179.36,179.93,179.49,166.53,169.88,171.88,173.27
A,117.87,131.68,142.68,154.17,157.02,162.75,155.49,153.81,170.16,173.66,165.54,165.16,174.8,173.82,178.61,179.82,157.72,161.14,161.34,160.7
A,111.1,125.12,138.32,148.91,150.63,156.17,150.36,146.24,164.04,167.22,161.43,158.81,178.67,179.1,176.26,174.78,163.72,169.42,169.38,168.38
B,126.93,149.2,168.7,176.81,160.43,165.69,168.22,170.19,172.88,174.65,175.51,176.05,175.36,176.34,177.32,178.06,162.26,166.13,168.65,170.31
A,115.16,128.94,140.25,151.44,155.19,159.62,152.5,151.28,168.23,169.76,161.62,162.92,177.08,177.73,176.8,177.13,159.94,165.28,166.95,165.3
B,132.25,151.74,170.51,175.15,165.47,169.25,171.09,172.58,176.31,177.0,177.42,177.67,173.46,175.47,176.79,177.72,161.23,165.74,168.45,170.35
A,99.39,111.7,125.17,136.43,136.76,145.0,139.47,133.19,150.15,155.67,149.85,144.47,164.54,166.93,163.83,161.02,178.09,178.97,178.46,178.37
A,103.2,114.44,127.7,139.32,139.33,147.12,142.05,136.46,152.73,157.43,152.11,147.11,167.19,168.88,165.96,162.93,175.74,179.81,179.93,179.64
B,130.26,150.9,170.45,174.05,161.25,167.12,169.92,171.9,173.18,175.46,176.81,177.41,175.74,176.25,176.59,177.04,163.02,166.52,168.51,169.83
A,112.85,126.44,139.26,149.03,151.65,156.59,150.13,146.24,164.44,167.19,160.8,159.21,179.03,178.95,175.54,175.06,163.64,169.6,170.19,168.48
B,131.3,150.98,169.22,177.78,161.07,165.65,168.04,169.84,172.58,173.62,174.48,174.87,176.52,178.11,179.01,179.81,163.98,168.32,170.69,172.32
B,135.18,152.04,171.19,174.78,155.81,162.65,166.15,168.44,168.2,171.43,173.13,174.0,179.94,179.78,179.42,179.1,165.95,169.67,172.11,173.84
A,109.61,123.72,136.32,147.88,149.79,154.31,147.74,145.85,162.67,164.89,158.06,157.77,176.88,176.65,173.01,172.92,166.25,171.42,172.63,171.7
A,110.91,124.45,134.28,145.51,150.54,153.93,146.86,146.07,163.8,164.41,156.53,157.98,178.84,177.18,171.82,172.49,163.71,169.44,171.41,169.82
B,128.35,150.99,173.29,170.49,160.41,166.72,170.3,172.81,173.75,175.93,177.17,177.85,173.69,175.31,175.99,176.43,158.9,164.05,166.82,168.56
A,116.46,125.07,136.39,146.64,154.85,161.25,154.29,149.09,169.45,171.57,165.87,163.51,175.21,176.06,178.93,179.1,158.62,163.64,163.62,163.77
B,128.54,147.84,167.53,177.06,159.13,164.62,167.36,169.39,171.02,173.04,174.28,174.92,177.87,178.58,178.91,179.24,165.04,168.83,170.81,172.06
